opsim,metric,value
baseline_retrofoot_v2_0_10yrs,Mean NumberOfQuickRevisits  HealpixSlicer,0.23988122403005438
baseline_retrofoot_v2_0_10yrs,Rms NumberOfQuickRevisits  HealpixSlicer,0.5726095638212553
baseline_retrofoot_v2_0_10yrs,Median NumberOfQuickRevisits  HealpixSlicer,0.2199074074074074
baseline_retrofoot_v2_0_10yrs,Max NumberOfQuickRevisits  HealpixSlicer,0.5544238940264934
baseline_retrofoot_v2_0_10yrs,Min NumberOfQuickRevisits  HealpixSlicer,0.0
baseline_retrofoot_v2_0_10yrs,N(+3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.27932960893854747
baseline_retrofoot_v2_0_10yrs,N(-3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.0
baseline_retrofoot_v2_0_10yrs,Median SurfaceBrightLimit u HealpixSlicer,0.989589775707092
baseline_retrofoot_v2_0_10yrs,Median SurfaceBrightLimit g HealpixSlicer,0.0
baseline_retrofoot_v2_0_10yrs,Median SurfaceBrightLimit i HealpixSlicer,0.0
baseline_retrofoot_v2_0_10yrs,Median SurfaceBrightLimit r HealpixSlicer,0.9992151763750878
baseline_retrofoot_v2_0_10yrs,Median SurfaceBrightLimit z HealpixSlicer,0.9991198558334836
baseline_retrofoot_v2_0_10yrs,Median SurfaceBrightLimit y HealpixSlicer,1.0
baseline_retrofoot_v2_0_10yrs,Mean NumberOfQuickRevisits All sky HealpixSlicer,0.23988122403005438
baseline_retrofoot_v2_0_10yrs,Rms NumberOfQuickRevisits All sky HealpixSlicer,0.5726095638212553
baseline_retrofoot_v2_0_10yrs,Median NumberOfQuickRevisits All sky HealpixSlicer,0.2199074074074074
baseline_retrofoot_v2_0_10yrs,Max NumberOfQuickRevisits All sky HealpixSlicer,0.5544238940264934
baseline_retrofoot_v2_0_10yrs,Min NumberOfQuickRevisits All sky HealpixSlicer,0.0
baseline_retrofoot_v2_0_10yrs,N(+3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.27932960893854747
baseline_retrofoot_v2_0_10yrs,N(-3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.0
baseline_v2_0_10yrs,Mean NumberOfQuickRevisits  HealpixSlicer,0.23205431852855396
baseline_v2_0_10yrs,Rms NumberOfQuickRevisits  HealpixSlicer,0.5635313970574246
baseline_v2_0_10yrs,Median NumberOfQuickRevisits  HealpixSlicer,0.20833333333333334
baseline_v2_0_10yrs,Max NumberOfQuickRevisits  HealpixSlicer,0.561515871032242
baseline_v2_0_10yrs,Min NumberOfQuickRevisits  HealpixSlicer,0.0
baseline_v2_0_10yrs,N(+3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.2877094972067039
baseline_v2_0_10yrs,N(-3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.0
baseline_v2_0_10yrs,Median SurfaceBrightLimit u HealpixSlicer,0.9883022975310835
baseline_v2_0_10yrs,Median SurfaceBrightLimit g HealpixSlicer,0.0
baseline_v2_0_10yrs,Median SurfaceBrightLimit i HealpixSlicer,0.0
baseline_v2_0_10yrs,Median SurfaceBrightLimit r HealpixSlicer,0.9980083668854642
baseline_v2_0_10yrs,Median SurfaceBrightLimit z HealpixSlicer,0.9978970252081129
baseline_v2_0_10yrs,Median SurfaceBrightLimit y HealpixSlicer,0.9983630729836998
baseline_v2_0_10yrs,Mean NumberOfQuickRevisits All sky HealpixSlicer,0.23205431852855396
baseline_v2_0_10yrs,Rms NumberOfQuickRevisits All sky HealpixSlicer,0.5635313970574246
baseline_v2_0_10yrs,Median NumberOfQuickRevisits All sky HealpixSlicer,0.20833333333333334
baseline_v2_0_10yrs,Max NumberOfQuickRevisits All sky HealpixSlicer,0.561515871032242
baseline_v2_0_10yrs,Min NumberOfQuickRevisits All sky HealpixSlicer,0.0
baseline_v2_0_10yrs,N(+3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.2877094972067039
baseline_v2_0_10yrs,N(-3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.0
baseline_v2_1_10yrs,Mean NumberOfQuickRevisits  HealpixSlicer,0.23740499852628363
baseline_v2_1_10yrs,Rms NumberOfQuickRevisits  HealpixSlicer,0.5647875952792283
baseline_v2_1_10yrs,Median NumberOfQuickRevisits  HealpixSlicer,0.21180555555555555
baseline_v2_1_10yrs,Max NumberOfQuickRevisits  HealpixSlicer,0.5643589102724319
baseline_v2_1_10yrs,Min NumberOfQuickRevisits  HealpixSlicer,0.0
baseline_v2_1_10yrs,N(+3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.2849162011173184
baseline_v2_1_10yrs,N(-3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.0
baseline_v2_1_10yrs,Median SurfaceBrightLimit u HealpixSlicer,0.9884982824603732
baseline_v2_1_10yrs,Median SurfaceBrightLimit g HealpixSlicer,0.0
baseline_v2_1_10yrs,Median SurfaceBrightLimit i HealpixSlicer,0.0
baseline_v2_1_10yrs,Median SurfaceBrightLimit r HealpixSlicer,0.9982073757897846
baseline_v2_1_10yrs,Median SurfaceBrightLimit z HealpixSlicer,0.9976735129239492
baseline_v2_1_10yrs,Median SurfaceBrightLimit y HealpixSlicer,0.9980281108996467
baseline_v2_1_10yrs,Mean NumberOfQuickRevisits All sky HealpixSlicer,0.23740499852628363
baseline_v2_1_10yrs,Rms NumberOfQuickRevisits All sky HealpixSlicer,0.5647875952792283
baseline_v2_1_10yrs,Median NumberOfQuickRevisits All sky HealpixSlicer,0.21180555555555555
baseline_v2_1_10yrs,Max NumberOfQuickRevisits All sky HealpixSlicer,0.5643589102724319
baseline_v2_1_10yrs,Min NumberOfQuickRevisits All sky HealpixSlicer,0.0
baseline_v2_1_10yrs,N(+3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.2849162011173184
baseline_v2_1_10yrs,N(-3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.0
bluer_indx0_v2_0_10yrs,Mean NumberOfQuickRevisits  HealpixSlicer,0.23273232353829304
bluer_indx0_v2_0_10yrs,Rms NumberOfQuickRevisits  HealpixSlicer,0.5631018837601611
bluer_indx0_v2_0_10yrs,Median NumberOfQuickRevisits  HealpixSlicer,0.20833333333333334
bluer_indx0_v2_0_10yrs,Max NumberOfQuickRevisits  HealpixSlicer,0.5571419645088728
bluer_indx0_v2_0_10yrs,Min NumberOfQuickRevisits  HealpixSlicer,0.0
bluer_indx0_v2_0_10yrs,N(+3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.2877094972067039
bluer_indx0_v2_0_10yrs,N(-3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.0
bluer_indx0_v2_0_10yrs,Median SurfaceBrightLimit u HealpixSlicer,0.9882116194340604
bluer_indx0_v2_0_10yrs,Median SurfaceBrightLimit g HealpixSlicer,0.0
bluer_indx0_v2_0_10yrs,Median SurfaceBrightLimit i HealpixSlicer,0.0
bluer_indx0_v2_0_10yrs,Median SurfaceBrightLimit r HealpixSlicer,0.9972396870892806
bluer_indx0_v2_0_10yrs,Median SurfaceBrightLimit z HealpixSlicer,0.9967959414255589
bluer_indx0_v2_0_10yrs,Median SurfaceBrightLimit y HealpixSlicer,0.9982760200377462
bluer_indx0_v2_0_10yrs,Mean NumberOfQuickRevisits All sky HealpixSlicer,0.23273232353829304
bluer_indx0_v2_0_10yrs,Rms NumberOfQuickRevisits All sky HealpixSlicer,0.5631018837601611
bluer_indx0_v2_0_10yrs,Median NumberOfQuickRevisits All sky HealpixSlicer,0.20833333333333334
bluer_indx0_v2_0_10yrs,Max NumberOfQuickRevisits All sky HealpixSlicer,0.5571419645088728
bluer_indx0_v2_0_10yrs,Min NumberOfQuickRevisits All sky HealpixSlicer,0.0
bluer_indx0_v2_0_10yrs,N(+3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.2877094972067039
bluer_indx0_v2_0_10yrs,N(-3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.0
bluer_indx1_v2_0_10yrs,Mean NumberOfQuickRevisits  HealpixSlicer,0.2328143357753912
bluer_indx1_v2_0_10yrs,Rms NumberOfQuickRevisits  HealpixSlicer,0.5638895148274998
bluer_indx1_v2_0_10yrs,Median NumberOfQuickRevisits  HealpixSlicer,0.20833333333333334
bluer_indx1_v2_0_10yrs,Max NumberOfQuickRevisits  HealpixSlicer,0.5579542614346413
bluer_indx1_v2_0_10yrs,Min NumberOfQuickRevisits  HealpixSlicer,0.0
bluer_indx1_v2_0_10yrs,N(+3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.27932960893854747
bluer_indx1_v2_0_10yrs,N(-3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.0
bluer_indx1_v2_0_10yrs,Median SurfaceBrightLimit u HealpixSlicer,0.9907143295432926
bluer_indx1_v2_0_10yrs,Median SurfaceBrightLimit g HealpixSlicer,0.0
bluer_indx1_v2_0_10yrs,Median SurfaceBrightLimit i HealpixSlicer,0.0
bluer_indx1_v2_0_10yrs,Median SurfaceBrightLimit r HealpixSlicer,0.9970643679053086
bluer_indx1_v2_0_10yrs,Median SurfaceBrightLimit z HealpixSlicer,0.9968076196858465
bluer_indx1_v2_0_10yrs,Median SurfaceBrightLimit y HealpixSlicer,0.9982729094802519
bluer_indx1_v2_0_10yrs,Mean NumberOfQuickRevisits All sky HealpixSlicer,0.2328143357753912
bluer_indx1_v2_0_10yrs,Rms NumberOfQuickRevisits All sky HealpixSlicer,0.5638895148274998
bluer_indx1_v2_0_10yrs,Median NumberOfQuickRevisits All sky HealpixSlicer,0.20833333333333334
bluer_indx1_v2_0_10yrs,Max NumberOfQuickRevisits All sky HealpixSlicer,0.5579542614346413
bluer_indx1_v2_0_10yrs,Min NumberOfQuickRevisits All sky HealpixSlicer,0.0
bluer_indx1_v2_0_10yrs,N(+3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.27932960893854747
bluer_indx1_v2_0_10yrs,N(-3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.0
carina_v2_0_10yrs,Mean NumberOfQuickRevisits  HealpixSlicer,0.19143437571353494
carina_v2_0_10yrs,Rms NumberOfQuickRevisits  HealpixSlicer,0.5608353285409666
carina_v2_0_10yrs,Median NumberOfQuickRevisits  HealpixSlicer,0.16087962962962962
carina_v2_0_10yrs,Max NumberOfQuickRevisits  HealpixSlicer,0.5558610347413147
carina_v2_0_10yrs,Min NumberOfQuickRevisits  HealpixSlicer,0.0
carina_v2_0_10yrs,N(+3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.2849162011173184
carina_v2_0_10yrs,N(-3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.0
carina_v2_0_10yrs,Median SurfaceBrightLimit u HealpixSlicer,0.9879126067568712
carina_v2_0_10yrs,Median SurfaceBrightLimit g HealpixSlicer,0.0
carina_v2_0_10yrs,Median SurfaceBrightLimit i HealpixSlicer,0.0
carina_v2_0_10yrs,Median SurfaceBrightLimit r HealpixSlicer,0.9979789337738851
carina_v2_0_10yrs,Median SurfaceBrightLimit z HealpixSlicer,0.998166341884477
carina_v2_0_10yrs,Median SurfaceBrightLimit y HealpixSlicer,0.9986404662469056
carina_v2_0_10yrs,Mean NumberOfQuickRevisits All sky HealpixSlicer,0.19143437571353494
carina_v2_0_10yrs,Rms NumberOfQuickRevisits All sky HealpixSlicer,0.5608353285409666
carina_v2_0_10yrs,Median NumberOfQuickRevisits All sky HealpixSlicer,0.16087962962962962
carina_v2_0_10yrs,Max NumberOfQuickRevisits All sky HealpixSlicer,0.5558610347413147
carina_v2_0_10yrs,Min NumberOfQuickRevisits All sky HealpixSlicer,0.0
carina_v2_0_10yrs,N(+3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.2849162011173184
carina_v2_0_10yrs,N(-3Sigma) NumberOfQuickRevisits All sky HealpixSlicer,0.0
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,Mean NumberOfQuickRevisits  HealpixSlicer,0.22954792977947663
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,Rms NumberOfQuickRevisits  HealpixSlicer,0.6416750831361768
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,Median NumberOfQuickRevisits  HealpixSlicer,0.19560185185185186
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,Max NumberOfQuickRevisits  HealpixSlicer,0.6444951262184454
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,Min NumberOfQuickRevisits  HealpixSlicer,0.0
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,N(+3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.3100558659217877
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,N(-3Sigma) NumberOfQuickRevisits  HealpixSlicer,0.0
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,Median SurfaceBrightLimit u HealpixSlicer,0.9880889718812683
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,Median SurfaceBrightLimit g HealpixSlicer,0.0
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,Median SurfaceBrightLimit i HealpixSlicer,0.0
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,Median SurfaceBrightLimit r HealpixSlicer,0.9983273764718149
ddf_accourd_sf0_05_lsf0_1_lsr0_1_v2_1_10yrs,Median SurfaceBrightLimit z HealpixSlicer,0.998036644452352
