t,mag,stdev
-5.0,1.0,0.6773191669425762
-4.5,1.0,0.6384642452326971
-4.0,0.08938691080876993,0.6082292783857572
-3.5,0.12163323446499064,0.5846884717169228
-3.0,0.15758743613595616,0.5293719534588928
-2.5,-0.6047748584087209,0.5049457618815865
-2.0,-0.8039409735426588,0.4934865685970072
-1.5,-0.562941080657474,0.4801294095316856
-1.0,-0.3439274085559063,0.4642690190414803
-0.5,0.011914595763048652,0.4273434590505545
0.0,0.11422080156878778,0.6183576401474054
0.5,0.24752421939861335,0.6023420275314574
1.0,0.30030677069559175,0.5807270864342964
1.5,0.3819843947374899,0.5355383169705579
2.0,0.45151965922332726,0.5061012380189114
2.5,0.5092058742125847,0.5110302382670193
3.0,0.5667505818716534,0.47004340568469477
3.5,0.6043382014567129,0.41606040482887247
4.0,0.6770520213560727,0.36557245279274453
4.5,0.6967274994643531,0.32569180728511227
5.0,0.7258728409269066,0.2794911501357495
5.5,0.7968770053753853,0.24267852309900154
6.0,0.8222432564459581,0.20326057807840156
6.5,0.8660323565409058,0.1704194313375124
7.0,0.9039058209028923,0.13686020156124634
7.5,0.937953387856655,0.10654022481351581
8.0,0.9608530596682541,0.08122388334908114
8.5,0.9767572874243884,0.05801907434927247
9.0,0.9909252625022651,0.036841930978581204
9.5,0.9978743986147229,0.017560211172211005
10.0,1.0,0.0
10.5,0.997719721757985,0.01604640797653086
11.0,0.9918059150065517,0.03081129566704269
11.5,0.9802968434311055,0.04454101882330256
12.0,0.9645342389767411,0.057484550723711565
12.5,0.9462346372278788,0.06988177041952134
13.0,0.925747772835598,0.08195247893514801
13.5,0.901402459487849,0.09388722496215239
14.0,0.8740326269425294,0.10584084825467319
14.5,0.8438186985077645,0.11792923398426035
15.0,0.8109500792005117,0.13022924628072344
15.5,0.7756228469399457,0.1427813428942075
16.0,0.7380376362849075,0.15236355872401947
16.5,0.6945317276643266,0.16428171364939895
17.0,0.6469781332319684,0.17628211749911157
17.5,0.5968702702278321,0.18831767307824973
18.0,0.5444701857236751,0.20033091729963265
18.5,0.4900499334732906,0.21225822220567714
19.0,0.4338883381485772,0.22403331074248012
19.5,0.3762679645951099,0.2355900933256894
20.0,0.2705320723131419,0.24686488105345483
20.5,0.21058186674607837,0.2577980551053297
21.0,0.1503200752783176,0.2683352782807672
21.5,0.08998957134479202,0.278428330954353
22.0,0.03215807505220436,0.2880356450205371
22.5,-0.013388161845788282,0.2971225988749231
23.0,-0.05842396453736498,0.3056616259593353
23.5,-0.10294712940864148,0.3136321797979593
24.0,-0.14695656876967966,0.321020590124624
24.5,-0.19045116019517394,0.3278198376943518
25.0,-0.23342883620327548,0.3340292695788709
25.5,-0.2758858887801452,0.3396542719962744
26.0,-0.2512149811765312,0.344705913845326
