t,mag,stdev
-15.0,0.0,0.6773191669425762
-14.5,0.0,0.6384642452326971
-14.0,-0.9106130891912301,0.6082292783857572
-13.5,-0.8783667655350094,0.5846884717169228
-13.0,-0.8424125638640438,0.5293719534588928
-12.5,-1.604774858408721,0.5049457618815865
-12.0,-1.8039409735426588,0.4934865685970072
-11.5,-1.562941080657474,0.4801294095316856
-11.0,-1.3439274085559063,0.4642690190414803
-10.5,-0.9880854042369513,0.4273434590505545
-10.0,-0.8857791984312122,0.6183576401474054
-9.5,-0.7524757806013866,0.6023420275314574
-9.0,-0.6996932293044082,0.5807270864342964
-8.5,-0.6180156052625101,0.5355383169705579
-8.0,-0.5484803407766727,0.5061012380189114
-7.5,-0.4907941257874153,0.5110302382670193
-7.0,-0.4332494181283466,0.47004340568469477
-6.5,-0.3956617985432871,0.41606040482887247
-6.0,-0.3229479786439273,0.36557245279274453
-5.5,-0.3032725005356469,0.32569180728511227
-5.0,-0.2741271590730934,0.2794911501357495
-4.5,-0.2031229946246147,0.24267852309900154
-4.0,-0.17775674355404192,0.20326057807840156
-3.5,-0.13396764345909418,0.1704194313375124
-3.0,-0.09609417909710771,0.13686020156124634
-2.5,-0.06204661214334495,0.10654022481351581
-2.0,-0.03914694033174593,0.08122388334908114
-1.5,-0.023242712575611613,0.05801907434927247
-1.0,-0.009074737497734908,0.036841930978581204
-0.5,-0.002125601385277065,0.017560211172211005
0.0,0.0,0.0
0.5,-0.0022802782420150436,0.01604640797653086
1.0,-0.008194084993448314,0.03081129566704269
1.5,-0.019703156568894542,0.04454101882330256
2.0,-0.035465761023258935,0.057484550723711565
2.5,-0.05376536277212121,0.06988177041952134
3.0,-0.07425222716440208,0.08195247893514801
3.5,-0.09859754051215094,0.09388722496215239
4.0,-0.1259673730574706,0.10584084825467319
4.5,-0.1561813014922355,0.11792923398426035
5.0,-0.18904992079948837,0.13022924628072344
5.5,-0.22437715306005432,0.1427813428942075
6.0,-0.2619623637150925,0.15236355872401947
6.5,-0.3054682723356734,0.16428171364939895
7.0,-0.3530218667680316,0.17628211749911157
7.5,-0.4031297297721679,0.18831767307824973
8.0,-0.4555298142763249,0.20033091729963265
8.5,-0.5099500665267094,0.21225822220567714
9.0,-0.5661116618514228,0.22403331074248012
9.5,-0.6237320354048901,0.2355900933256894
10.0,-0.7294679276868581,0.24686488105345483
10.5,-0.7894181332539216,0.2577980551053297
11.0,-0.8496799247216824,0.2683352782807672
11.5,-0.910010428655208,0.278428330954353
12.0,-0.9678419249477956,0.2880356450205371
12.5,-1.0133881618457883,0.2971225988749231
13.0,-1.058423964537365,0.3056616259593353
13.5,-1.1029471294086415,0.3136321797979593
14.0,-1.1469565687696797,0.321020590124624
14.5,-1.190451160195174,0.3278198376943518
15.0,-1.2334288362032755,0.3340292695788709
15.5,-1.2758858887801452,0.3396542719962744
16.0,-1.2512149811765312,0.344705913845326
16.5,-1.2825915157160352,0.34920057093566886
17.0,-1.3147798198891962,0.3531595382917921
17.5,-1.347874271419684,0.35660863574296764
18.0,-1.381949875808857,0.3595778102104881
18.5,-1.4170628069239797,0.37035224365333463
19.0,-1.453251147496772,0.37252360526874667
19.5,-1.4905357894134852,0.3743052832432207
20.0,-1.5289214578576207,0.3757406842303228
20.5,-1.5683978273682868,0.385450088799567
21.0,-1.6089407016948059,0.39538318253984894
21.5,-1.650513232918712,0.3965549888341714
22.0,-1.6930671586422648,0.39750004196424243
22.5,-1.7365440391299813,0.3982565713630929
23.0,-1.7808764791048048,0.39886271672602625
23.5,-1.8178488598592724,0.39935626718360023
24.0,-1.86106492523799,0.36303204589082205
24.5,-1.9039267394960602,0.36108549129892314
25.0,-1.9463694645706457,0.3591006105666861
25.5,-1.9883295187912982,0.35711858705152366
26.0,-2.016610601867523,0.35517972877910525
26.5,-2.0401003061692595,0.35332321622571233
27.0,-2.0622372403952447,0.2994820488329842
27.5,-2.08303642676092,0.2967758697580747
28.0,-2.1049699118989116,0.2943478705544686
28.5,-2.153172341139486,0.29223743347868036
29.0,-2.1754649565667865,0.29048098018972834
29.5,-2.204499864615446,0.2891115008201186
30.0,-2.227994853177167,0.2881581109002542
30.5,-2.2096830895101665,0.28764565949445464
31.0,-2.2204377888237357,0.28759441192297863
31.5,-2.229917038436513,0.2865534034903907
32.0,-2.2381566977545435,0.2659522421315084
32.5,-2.2451937328484988,0.26741781079862353
33.0,-2.24834422940964,0.2765897760740072
33.5,-2.3377930721464644,0.276457817823973
34.0,-2.3408814674809637,0.2768264454752555
34.5,-2.3659986542730698,0.277693099616198
35.0,-2.370554022232192,0.2790504945499349
35.5,-2.3979705572332577,0.28088702516214825
36.0,-2.40620215026661,0.28318726679780226
36.5,-2.413392008641013,0.28593254028452314
