t,mag,stdev
5.0,1.0,0.6773191669425762
5.5,1.0,0.6384642452326971
6.0,0.08938691080876993,0.6082292783857572
6.5,0.12163323446499064,0.5846884717169228
7.0,0.15758743613595616,0.5293719534588928
7.5,-0.6047748584087209,0.5049457618815865
8.0,-0.8039409735426588,0.4934865685970072
8.5,-0.562941080657474,0.4801294095316856
9.0,-0.3439274085559063,0.4642690190414803
9.5,0.011914595763048652,0.4273434590505545
10.0,0.11422080156878778,0.6183576401474054
10.5,0.24752421939861335,0.6023420275314574
11.0,0.30030677069559175,0.5807270864342964
11.5,0.3819843947374899,0.5355383169705579
12.0,0.45151965922332726,0.5061012380189114
12.5,0.5092058742125847,0.5110302382670193
13.0,0.5667505818716534,0.47004340568469477
13.5,0.6043382014567129,0.41606040482887247
14.0,0.6770520213560727,0.36557245279274453
14.5,0.6967274994643531,0.32569180728511227
15.0,0.7258728409269066,0.2794911501357495
15.5,0.7968770053753853,0.24267852309900154
16.0,0.8222432564459581,0.20326057807840156
16.5,0.8660323565409058,0.1704194313375124
17.0,0.9039058209028923,0.13686020156124634
17.5,0.937953387856655,0.10654022481351581
18.0,0.9608530596682541,0.08122388334908114
18.5,0.9767572874243884,0.05801907434927247
19.0,0.9909252625022651,0.036841930978581204
19.5,0.9978743986147229,0.017560211172211005
20.0,1.0,0.0
20.5,0.997719721757985,0.01604640797653086
21.0,0.9918059150065517,0.03081129566704269
21.5,0.9802968434311055,0.04454101882330256
22.0,0.9645342389767411,0.057484550723711565
22.5,0.9462346372278788,0.06988177041952134
23.0,0.925747772835598,0.08195247893514801
23.5,0.901402459487849,0.09388722496215239
24.0,0.8740326269425294,0.10584084825467319
24.5,0.8438186985077645,0.11792923398426035
25.0,0.8109500792005117,0.13022924628072344
25.5,0.7756228469399457,0.1427813428942075
26.0,0.7380376362849075,0.15236355872401947
26.5,0.6945317276643266,0.16428171364939895
27.0,0.6469781332319684,0.17628211749911157
27.5,0.5968702702278321,0.18831767307824973
28.0,0.5444701857236751,0.20033091729963265
28.5,0.4900499334732906,0.21225822220567714
29.0,0.4338883381485772,0.22403331074248012
29.5,0.3762679645951099,0.2355900933256894
30.0,0.2705320723131419,0.24686488105345483
30.5,0.21058186674607837,0.2577980551053297
31.0,0.1503200752783176,0.2683352782807672
31.5,0.08998957134479202,0.278428330954353
32.0,0.03215807505220436,0.2880356450205371
32.5,-0.013388161845788282,0.2971225988749231
33.0,-0.05842396453736498,0.3056616259593353
33.5,-0.10294712940864148,0.3136321797979593
34.0,-0.14695656876967966,0.321020590124624
34.5,-0.19045116019517394,0.3278198376943518
35.0,-0.23342883620327548,0.3340292695788709
35.5,-0.2758858887801452,0.3396542719962744
36.0,-0.2512149811765312,0.344705913845326
36.5,-0.28259151571603525,0.34920057093566886
37.0,-0.31477981988919623,0.3531595382917921
37.5,-0.3478742714196841,0.35660863574296764
38.0,-0.3819498758088571,0.3595778102104881
38.5,-0.4170628069239797,0.37035224365333463
39.0,-0.453251147496772,0.37252360526874667
39.5,-0.4905357894134852,0.3743052832432207
40.0,-0.5289214578576207,0.3757406842303228
40.5,-0.5683978273682868,0.385450088799567
41.0,-0.6089407016948059,0.39538318253984894
41.5,-0.650513232918712,0.3965549888341714
42.0,-0.6930671586422648,0.39750004196424243
42.5,-0.7365440391299813,0.3982565713630929
43.0,-0.7808764791048048,0.39886271672602625
43.5,-0.8178488598592724,0.39935626718360023
44.0,-0.86106492523799,0.36303204589082205
44.5,-0.9039267394960602,0.36108549129892314
45.0,-0.9463694645706457,0.3591006105666861
45.5,-0.9883295187912982,0.35711858705152366
46.0,-1.016610601867523,0.35517972877910525
46.5,-1.0401003061692595,0.35332321622571233
47.0,-1.0622372403952447,0.2994820488329842
47.5,-1.0830364267609198,0.2967758697580747
48.0,-1.1049699118989116,0.2943478705544686
48.5,-1.153172341139486,0.29223743347868036
49.0,-1.1754649565667865,0.29048098018972834
49.5,-1.2044998646154461,0.2891115008201186
50.0,-1.227994853177167,0.2881581109002542
50.5,-1.2096830895101665,0.28764565949445464
51.0,-1.2204377888237357,0.28759441192297863
51.5,-1.229917038436513,0.2865534034903907
52.0,-1.2381566977545435,0.2659522421315084
52.5,-1.2451937328484988,0.26741781079862353
53.0,-1.24834422940964,0.2765897760740072
53.5,-1.3377930721464644,0.276457817823973
54.0,-1.3408814674809637,0.2768264454752555
54.5,-1.3659986542730698,0.277693099616198
55.0,-1.370554022232192,0.2790504945499349
55.5,-1.3979705572332577,0.28088702516214825
