db,TPM,LS,CI
footprint_add_mag_cloudsv1.5_10yrs,0.8284324231723859,0.00013860226764512472,2.51163546547641e-06
footprint_big_sky_dustv1.5_10yrs,0.8076229469709505,0.00014481146389511146,2.5623592217879317e-06
footprint_big_sky_nouiyv1.5_10yrs,1.0,0.00014102496706325517,2.7241541696362668e-06
footprint_big_skyv1.5_10yrs,0.8010818366768129,0.00017335760904891735,2.6782625725892897e-06
footprint_big_wfdv1.5_10yrs,0.6986860608487194,0.00015412832669115125,2.3602861289563927e-06
footprint_bluer_footprintv1.5_10yrs,0.7837227045319863,0.00011974695030967678,2.533705545741011e-06
footprint_gp_smoothv1.5_10yrs,0.7156680587527015,0.00013764523197448803,2.4526827376721374e-06
footprint_newAv1.5_10yrs,0.7916628972717149,0.00015528688655890287,2.331179030394686e-06
footprint_newBv1.5_10yrs,0.8646074004351393,0.0001543111449898963,3.6595249866418715e-06
footprint_no_gp_northv1.5_10yrs,0.8025026490052936,0.00013817115888708107,2.5527210689824366e-06
footprint_standard_goalsv1.5_10yrs,0.7787650859491314,0.00014840006748799948,2.573597792747951e-06
footprint_stuck_rollingv1.5_10yrs,0.3556420380007186,0.0001475606857909671,2.3230602496196304e-06
goodseeing_gi_v1.5_10yrs,0.8563820765855422,0.00012807777986085028,2.631431931627491e-06
goodseeing_gri_v1.5_10yrs,0.8588596146718195,0.00012984273771540831,2.614842421472765e-06
goodseeing_griz_v1.5_10yrs,0.8781892776370678,0.00012735273242957119,2.6228932814477365e-06
goodseeing_gz_v1.5_10yrs,0.850009853907032,0.0003005023278022852,2.598417849127184e-06
goodseeing_i_v1.5_10yrs,0.7785258705090888,0.00014258048426652617,2.4999186573751583e-06
greedy_footprint_v1.5_10yrs,0.6700330478039809,0.00013946081358619572,2.5696283741377315e-06
roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.7741846956156506,0.00016507467815226844,2.404973658604107e-06
rolling_mod2_sdf_0.10_v1.5_10yrs,0.7247871809759648,0.00015036562903058615,2.52966058609243e-06
rolling_mod2_sdf_0.20_v1.5_10yrs,0.7141284757563833,0.00015242307696700233,2.5338936006635653e-06
rolling_mod3_sdf_0.10_v1.5_10yrs,0.7160879532314666,0.00015738199978218928,2.545716200301191e-06
rolling_mod3_sdf_0.20_v1.5_10yrs,0.7110391130958934,0.00015955191197596872,2.542404518711296e-06
rolling_mod6_sdf_0.10_v1.5_10yrs,0.7235030526000881,0.0001703931165776568,2.5911549756172317e-06
rolling_mod6_sdf_0.20_v1.5_10yrs,0.7195961278706869,0.00016385588451681826,2.5635765505912165e-06
short_exp_2ns_1expt_v1.5_10yrs,0.7951575410896379,0.0001451075367331053,2.45030210602409e-06
short_exp_2ns_5expt_v1.5_10yrs,0.8907001497096643,0.00013925893326062242,2.5281853688820447e-06
short_exp_5ns_1expt_v1.5_10yrs,0.9136775907014392,0.00013903262688852336,2.26731839718299e-06
short_exp_5ns_5expt_v1.5_10yrs,0.8126441221197204,0.00014270385175360763,2.6034571247212465e-06
spiders_v1.5_10yrs,0.7212458052870021,0.00013707732372807293,2.552214265781144e-06
third_obs_pt120v1.5_10yrs,0.8494434368145097,0.0001432779449000329,2.5978424982415117e-06
third_obs_pt15v1.5_10yrs,0.7920202026507029,0.0001430651391024728,2.555472247379384e-06
third_obs_pt30v1.5_10yrs,0.8118430789919455,0.00014160403036896218,2.5446794935718468e-06
third_obs_pt45v1.5_10yrs,0.7305641518860417,0.00025143741278000096,2.564777212279501e-06
third_obs_pt60v1.5_10yrs,0.757566667857045,0.00013814094092121516,2.5804374968397997e-06
third_obs_pt90v1.5_10yrs,0.8492758134499118,0.00014205435257274698,2.5859377841352487e-06
twilight_neo_mod1_v1.5_10yrs,0.40076245417899004,0.0001634546858305053,1.644855350892677e-06
twilight_neo_mod2_v1.5_10yrs,0.41681366947905907,0.00014974483462130669,2.226088538015644e-06
twilight_neo_mod3_v1.5_10yrs,0.4101628925999595,0.00013943194694555482,2.3952471392641417e-06
twilight_neo_mod4_v1.5_10yrs,0.5461301286634545,0.00014529191035858314,2.447751254449717e-06
u60_v1.5_10yrs,0.7638799261369758,0.0001457196162035897,2.2257704622287393e-06
var_expt_v1.5_10yrs,0.855643189288424,0.00010376454178663096,2.6190974489132854e-06
wfd_depth_scale0.65_noddf_v1.5_10yrs,0.6637806659312868,0.0001459886489334608,2.33137304143289e-06
wfd_depth_scale0.65_v1.5_10yrs,0.632324276490661,0.00016689661778995232,2.2765075354770808e-06
wfd_depth_scale0.70_noddf_v1.5_10yrs,0.6695096470080624,0.00014308086997907488,2.412846414368365e-06
wfd_depth_scale0.70_v1.5_10yrs,0.6866560863689524,0.0001518044654456308,2.341176677628814e-06
wfd_depth_scale0.75_noddf_v1.5_10yrs,0.6781371645114809,0.00014128530046321892,2.4749876361627943e-06
wfd_depth_scale0.75_v1.5_10yrs,0.6913442223071834,0.0001430844048942432,2.3843687053068325e-06
wfd_depth_scale0.80_noddf_v1.5_10yrs,0.8732075021549339,0.00013953082083710154,2.513054239346563e-06
wfd_depth_scale0.80_v1.5_10yrs,0.6801147795985352,0.00014477889602491434,2.438591953642006e-06
wfd_depth_scale0.85_noddf_v1.5_10yrs,0.7272938008624076,0.00013521041480824242,2.5932914926024965e-06
wfd_depth_scale0.85_v1.5_10yrs,0.7603634443053052,0.0001376994754911007,2.515024173628411e-06
wfd_depth_scale0.90_noddf_v1.5_10yrs,0.8215606195042257,0.00014045612909384557,2.6417354591580013e-06
wfd_depth_scale0.90_v1.5_10yrs,0.772232730202702,0.0001416961844662708,2.561543212939666e-06
wfd_depth_scale0.95_noddf_v1.5_10yrs,0.7951049278408168,0.00012994175860607708,2.704542067750416e-06
wfd_depth_scale0.95_v1.5_10yrs,0.8054134188436118,0.00013420150579899416,2.6209714063029505e-06
wfd_depth_scale0.99_noddf_v1.5_10yrs,0.8338936349930208,0.00013690893999716806,2.767779751084309e-06
wfd_depth_scale0.99_v1.5_10yrs,0.8448673679924181,0.0001448698528814993,2.6549467483488157e-06
baseline_nexp1_v1.7_10yrs,0.11155289763943937,0.7009170364195072,1.0
baseline_nexp2_v1.7_10yrs,0.11048578638551305,0.7523582656642294,0.9401161585273046
cadence_drive_gl100_gcbv1.7_10yrs,0.11762630133740687,0.7614056616279409,0.9364887743448372
cadence_drive_gl100v1.7_10yrs,0.11495633536170284,0.7166112063531045,0.949216533601604
cadence_drive_gl200_gcbv1.7_10yrs,0.1207233730053156,0.6635483108992558,0.9278949396886128
