section,agnddf,alt_dust,alt_roll_mod2_dust_sdf_0_20,baseline_2snaps,baseline_samefilt,baseline,bulges_bs,bulges_bulge_wfd,bulges_cadence_bs,bulges_cadence_bulge_wfd,bulges_cadence_i_heavy,bulges_i_heavy,daily_ddf,dcr_nham1_ug,dcr_nham1_ugr,dcr_nham1_ugri,dcr_nham2_ug,dcr_nham2_ugr,dcr_nham2_ugri,descddf,filterdist_indx1,filterdist_indx2,filterdist_indx3,filterdist_indx4,filterdist_indx5,filterdist_indx6,filterdist_indx7,filterdist_indx8,footprint_add_mag_clouds,footprint_big_sky_dust,footprint_big_sky_nouiy,footprint_big_sky,footprint_big_wfd,footprint_bluer_footprint,footprint_gp_smooth,footprint_newA,footprint_newB,footprint_no_gp_north,footprint_standard_goals,footprint_stuck_rolling,goodseeing_gi,goodseeing_gri,goodseeing_griz,goodseeing_gz,goodseeing_i,greedy_footprint,roll_mod2_dust_sdf_0_20,rolling_mod2_sdf_0_10,rolling_mod2_sdf_0_20,rolling_mod3_sdf_0_10,rolling_mod3_sdf_0_20,rolling_mod6_sdf_0_10,rolling_mod6_sdf_0_20,short_exp_2ns_1expt,short_exp_2ns_5expt,short_exp_5ns_1expt,short_exp_5ns_5expt,spiders,third_obs_pt120,third_obs_pt15,third_obs_pt30,third_obs_pt45,third_obs_pt60,third_obs_pt90,twilight_neo_mod1,twilight_neo_mod2,twilight_neo_mod3,twilight_neo_mod4,u60,var_expt,wfd_depth_scale0_65_noddf,wfd_depth_scale0_65,wfd_depth_scale0_70_noddf,wfd_depth_scale0_70,wfd_depth_scale0_75_noddf,wfd_depth_scale0_75,wfd_depth_scale0_80_noddf,wfd_depth_scale0_80,wfd_depth_scale0_85_noddf,wfd_depth_scale0_85,wfd_depth_scale0_90_noddf,wfd_depth_scale0_90,wfd_depth_scale0_95_noddf,wfd_depth_scale0_95,wfd_depth_scale0_99_noddf,wfd_depth_scale0_99,baseline_nexp1_v1_7_10yrs,baseline_nexp2_v1_7_10yrs,cadence_drive_gl100_gcbv1_7_10yrs,cadence_drive_gl100v1_7_10yrs,cadence_drive_gl200_gcbv1_7_10yrs,cadence_drive_gl200v1_7_10yrs,cadence_drive_gl30_gcbv1_7_10yrs,cadence_drive_gl30v1_7_10yrs,ddf_dither0_00_v1_7_10yrs,ddf_dither0_05_v1_7_10yrs,ddf_dither0_10_v1_7_10yrs,ddf_dither0_30_v1_7_10yrs,ddf_dither0_70_v1_7_10yrs,ddf_dither1_00_v1_7_10yrs,ddf_dither1_50_v1_7_10yrs,ddf_dither2_00_v1_7_10yrs,euclid_dither1_v1_7_10yrs,euclid_dither2_v1_7_10yrs,euclid_dither3_v1_7_10yrs,euclid_dither4_v1_7_10yrs,euclid_dither5_v1_7_10yrs,footprint_0_v1_710yrs,footprint_1_v1_710yrs,footprint_2_v1_710yrs,footprint_3_v1_710yrs,footprint_4_v1_710yrs,footprint_5_v1_710yrs,footprint_6_v1_710yrs,footprint_7_v1_710yrs,footprint_8_v1_710yrs,pair_times_11_v1_7_10yrs,pair_times_22_v1_7_10yrs,pair_times_33_v1_7_10yrs,pair_times_44_v1_7_10yrs,pair_times_55_v1_7_10yrs,rolling_nm_scale0_2_nslice2_v1_7_10yrs,rolling_nm_scale0_2_nslice3_v1_7_10yrs,rolling_nm_scale0_4_nslice2_v1_7_10yrs,rolling_nm_scale0_4_nslice3_v1_7_10yrs,rolling_nm_scale0_6_nslice2_v1_7_10yrs,rolling_nm_scale0_6_nslice3_v1_7_10yrs,rolling_nm_scale0_8_nslice2_v1_7_10yrs,rolling_nm_scale0_8_nslice3_v1_7_10yrs,rolling_nm_scale0_9_nslice2_v1_7_10yrs,rolling_nm_scale0_9_nslice3_v1_7_10yrs,rolling_nm_scale1_0_nslice2_v1_7_10yrs,rolling_nm_scale1_0_nslice3_v1_7_10yrs,rolling_scale0_2_nslice2_v1_7_10yrs,rolling_scale0_2_nslice3_v1_7_10yrs,rolling_scale0_4_nslice2_v1_7_10yrs,rolling_scale0_4_nslice3_v1_7_10yrs,rolling_scale0_6_nslice2_v1_7_10yrs,rolling_scale0_6_nslice3_v1_7_10yrs,rolling_scale0_8_nslice2_v1_7_10yrs,rolling_scale0_8_nslice3_v1_7_10yrs,rolling_scale0_9_nslice2_v1_7_10yrs,rolling_scale0_9_nslice3_v1_7_10yrs,rolling_scale1_0_nslice2_v1_7_10yrs,rolling_scale1_0_nslice3_v1_7_10yrs,twi_neo_pattern1_v1_7_10yrs,twi_neo_pattern2_v1_7_10yrs,twi_neo_pattern3_v1_7_10yrs,twi_neo_pattern4_v1_7_10yrs,twi_neo_pattern5_v1_7_10yrs,twi_neo_pattern6_v1_7_10yrs,twi_neo_pattern7_v1_7_10yrs,twi_pairs_mixed_repeat_v1_7_10yrs,twi_pairs_mixed_v1_7_10yrs,twi_pairs_repeat_v1_7_10yrs,twi_pairs_v1_7_10yrs,u_long_ms_30_v1_7_10yrs,u_long_ms_40_v1_7_10yrs,u_long_ms_50_v1_7_10yrs,u_long_ms_60_v1_7_10yrs
TPM,0.6111868890460389,0.5582342701488603,0.5778337455133967,0.5832583312517594,0.6378406016590124,0.6241329790176668,0.5913504750897653,0.6119469493167229,0.5904801640715989,0.617852373126474,0.6231058688875394,0.6323103095556774,0.5729820171934159,0.5880322421236039,0.6231153458805675,0.5888913421488018,0.6021126163110195,0.559483613828455,0.5619698988269652,0.5881993222874483,0.6484479850327446,0.6653068707118073,0.6340205259141845,0.6466603809084023,0.6534983054830957,0.673433216634801,0.6412654659550259,0.6511303899721949,0.6223745729351424,0.6263328061876218,0.6333361067283649,0.6290056497442109,0.5683735591434019,0.5957120310618154,0.6264421061416156,0.5942005247445336,0.6121527835621219,0.6338360908648665,0.6590533017967045,0.5103774142933469,0.6412900950483502,0.6194600884715605,0.6099156211784449,0.6224689564111424,0.6379976412437908,0.6315018897328681,1.0,0.6117196465131135,0.6140619825361723,0.6155673903272121,0.6167747034062184,0.6180729987934446,0.6213385602328305,0.7046359798509773,0.6506657995007203,0.7130259375927221,0.6837908810130481,0.6528316467367422,0.6172620642540443,0.6241329790176668,0.6618452495722191,0.5915094322251991,0.6191609890820683,0.5914246651036377,0.5532672460497025,0.5595929809723161,0.4847638620267283,0.5889961907279899,0.6258888058997576,0.6819183842345767,0.6685422159232529,0.5984376519555518,0.6414801647708047,0.6197055335519929,0.6215336658599043,0.6273439388733258,0.6633950511420555,0.634007961726792,0.6198874477312316,0.6055129138893975,0.594380779878772,0.6415331627395985,0.6832950338226064,0.6633027567569939,0.6059183072648162,0.6424851853870243,0.8263757623481941,0.8748240162341072,0.8650504481148555,0.8543210873235279,0.8220239166122622,0.815954226773985,0.9068193482192036,1.0,0.8635670421061294,0.8584862958629194,0.8712182383523258,0.8886742975948733,0.8748240162341072,0.9977099155718392,0.8810231149537581,0.8846810988773582,0.8748240162341072,0.929256418112983,0.872848339993833,0.8858164933806064,0.9180662879691684,0.7290167037168148,0.7496926427355184,0.7554968626712172,0.7234419140430207,0.7260635269904743,0.7234419140430207,0.7074472047635157,0.7320351329201129,0.7631903765234465,0.9255894014527196,0.8748240162341072,0.8978425456514703,0.8820984999632996,0.9485689012693445,0.9584096665425448,0.9643010843521074,0.9555623295507332,0.9740451673647308,0.979609745290592,0.9504396148870802,0.9578244208197272,0.9753983595862776,0.9709676181735224,0.9672231554762576,0.971303958391552,0.9795118546622591,0.6650258707261385,0.6730987706521895,0.6710360495746025,0.6704840751646861,0.6677924257621228,0.6726812407924407,0.6698328716062212,0.6773429628033194,0.6674529130244891,0.6773047267378886,0.6718583807426326,0.6763170230318671,0.7715839770963628,0.7471932237625142,0.8833429735158237,0.8368948081599556,0.8703383477577953,0.8205860907173159,0.9105091637721272,0.7126719315200177,0.7338359086403973,0.7096749419845045,0.6738035542293958,0.9332782290386364,0.867273971121823,0.8588348866611888,0.8356747703431965
LS,0.5158276556334086,0.2894971228179695,0.519345230432957,0.2642481793147728,0.6804250783067726,0.6857087796968689,0.4471568255008401,0.45318445409841,0.16208835673112806,0.17873749936120786,0.27586975158145965,0.4543314755321132,0.557123917396348,0.4142738402858753,0.1201229536781358,0.10923195995140507,0.10552847279119804,0.4146360418852636,0.13226889320423166,0.1458403618019329,0.09097321592017396,0.1257466315324746,0.08728041385395799,0.16816837409799473,0.12820317222419425,0.6279450810922956,0.16561009722532474,0.13253519999004618,0.23163497206231395,0.17499403206935407,0.10022757655868147,0.11339756085959565,0.388569785404156,0.11402310428977824,0.11145011295071898,0.2273928873013393,0.13899060264550556,0.251075669687285,0.09950892131899296,0.19822631496250834,0.20564563019838836,0.21405788603591847,0.2193043369477836,0.2881255391685199,0.5354148653728061,0.4551746043127925,0.10610088503591296,0.16711712630811132,0.24825256008287666,0.12588218395448372,0.15425004064762612,0.30703686368771704,0.28182556306555745,0.9540442334235713,1.0,0.9197071723199702,0.6791682926403462,0.5777872016120029,0.3371466281149125,0.6857087796968689,0.4872651244327966,0.3753128940804391,0.5001241959140676,0.4807000652238842,0.5725773739448988,0.1786167508096476,0.17569934211190907,0.4460465498652653,0.9254860182668416,0.19121458509190345,0.35783055771689626,0.12004648766416412,0.19349710651050925,0.12740830436394182,0.4638250946493902,0.5775663704198648,0.34468739814692384,0.18643115534600094,0.4670644002745968,0.4921068026260323,0.4120185271884761,0.24659798653349335,0.7517482088128911,0.235170461048023,0.4179374276378069,0.180821397225422,0.1940444865704284,0.8103194385651641,0.3113741385802205,0.33094085593506306,0.0960591626156438,0.13604515529839414,0.16370943771961874,0.4407329406123891,0.2737602296487726,0.27659638958507204,0.5893910710764148,0.2730852367656106,0.8103194385651641,0.31013129685659524,0.23010641140936464,0.435392340426098,0.8103194385651641,0.4155975675549993,0.7591952153228494,0.21409225438924792,0.566143004253489,0.9057560229540722,0.5228442295720639,0.1868138778820365,0.17770455773113766,0.1335298315214968,0.17770455773113766,0.416412622787801,0.1036794988898784,0.4338594593003714,0.7155760628304081,0.8103194385651641,0.23473625028661035,0.13086735941500574,0.4099325478232673,0.2797962716769356,0.17050330285624024,0.2267739082624569,0.2096036221981736,0.19175078269028245,0.17472362399308966,0.2614364850784261,0.7381192662229704,0.31882260462742484,0.3531630362890909,0.2097919146752844,0.22436085875133932,0.5168547549809122,0.1886599108466924,0.27373100255085925,1.0,0.7043839814652352,0.4397558164809325,0.20291679843601407,0.10374790417285616,0.2509765737445501,0.11573932205960526,0.19747856043492668,0.2090634445520776,0.2920828866762102,0.6093579296567728,0.35839243510036783,0.580959619016299,0.16398220883525674,0.13840475398208213,0.18494293816475516,0.12844107314475098,0.16074422074988348,0.7557862254223396,0.6343071109770932,0.13328686272234366,0.3983209991573773,0.2659014153946583,0.1018609290813005
CI,0.3698601490821932,0.33542544584358536,0.3432389725394137,0.30825191908693683,0.3843998906962113,0.3737659391786754,0.34207805243002065,0.34510959545757164,0.3467687366979657,0.40376345717068574,0.3393510210914302,0.3307957465498101,0.36113139389889615,0.3755499338674405,0.3926619126415932,0.3848635118872353,0.3690618888580866,0.37007538286825137,0.3839211687414773,0.3717521118031135,0.43304450967788005,0.4049945868338496,0.4133519637755196,0.4119771871114482,0.3378533474162159,0.3998112511845609,0.41112428851822297,0.3676846464069214,0.370200321118364,0.3758551061789824,0.3880824969114837,0.39676275779047904,0.33637087981663105,0.4098909154968339,0.3713104628651068,0.3093571501026695,0.5566242429299486,0.3752441690799972,0.3660919473848233,0.5128364949117876,0.3999805074651816,0.40104972742509465,0.3963448304694353,0.4160628261289031,0.3393554315941344,0.38356453237149135,1.0,0.3973557736618199,0.3907796059841053,0.4096651103820081,0.4045961802825685,0.4245747232084872,0.4107574074082682,0.3830686931599929,0.4013862452029825,0.3627920098842391,0.3852013829844029,0.3700465729396739,0.3877479841998141,0.37385597990192543,0.36848008986485264,0.3941123125229041,0.3625200040484581,0.3855838512525294,0.2692314586072084,0.3430362453150922,0.37377785934469504,0.36268803234761504,0.4209226610900556,0.3044432268557131,0.3679586903727863,0.3603545539324696,0.36249553197934026,0.3631979533230592,0.3759919681002229,0.357149373529815,0.3642942828369887,0.3611161196042881,0.3905488687276757,0.3795298348568264,0.3800015210431312,0.3839288895070056,0.3892503106883096,0.3838399403214884,0.3889594044575035,0.3838287564192117,0.6832483718482255,0.5507593798446325,0.5631825413774013,0.5465377446121353,0.5192909375175762,0.6406261015121617,0.5374861639935078,0.5464619432724684,0.5575171191217674,0.5549903214211649,0.5528448550420528,0.5382566925338934,0.5503926666981876,0.5357868983299973,0.5541030456658671,0.5638073170206461,0.5504853018306669,0.5726087769015146,0.5591288995781903,0.5384237890246083,0.5545738638860264,0.5035357437355871,0.5143904480014133,0.5228883890773361,0.5243437937378771,0.5254518239292595,0.5244287980598422,0.5179751871092689,0.5374172706210648,0.526236336060397,0.5317417233090567,0.5504816386767082,0.5813499784100853,0.5545528616903596,0.5695624036949465,0.5501753890426309,0.5393770568800981,0.5479060836159969,0.5384300964578496,0.5472214656425407,0.5345788920112,0.5377110417634583,0.5384810707656861,0.5460312878017551,0.5318139251258258,0.5486817160861577,0.5359238331911119,0.5744244306633827,0.5725620435891364,0.6039057140002279,0.5771263863535893,0.5770952942565227,1.0,0.6109841307683609,0.5704124288370177,0.6019951941361738,0.5744352212168375,0.5837575074413771,0.5745310861755732,0.5376778757680993,0.5369133593591087,0.5600671306619155,0.5619287813394256,0.5225621803132059,0.5552764747131276,0.5445749199827502,0.5705762684115282,0.5646921441783167,0.6142687690059961,0.5591089555339679,0.5901907287853186,0.5750752313876301,0.5655113875922471,0.5266507098470378
