section,agnddf,alt_dust,alt_roll_mod2_dust_sdf_0_20,baseline_2snaps,baseline_samefilt,baseline,bulges_bs,bulges_bulge_wfd,bulges_cadence_bs,bulges_cadence_bulge_wfd,bulges_cadence_i_heavy,bulges_i_heavy,daily_ddf,dcr_nham1_ug,dcr_nham1_ugr,dcr_nham1_ugri,dcr_nham2_ug,dcr_nham2_ugr,dcr_nham2_ugri,descddf,filterdist_indx1,filterdist_indx2,filterdist_indx3,filterdist_indx4,filterdist_indx5,filterdist_indx6,filterdist_indx7,filterdist_indx8,footprint_add_mag_clouds,footprint_big_sky_dust,footprint_big_sky_nouiy,footprint_big_sky,footprint_big_wfd,footprint_bluer_footprint,footprint_gp_smooth,footprint_newA,footprint_newB,footprint_no_gp_north,footprint_standard_goals,footprint_stuck_rolling,goodseeing_gi,goodseeing_gri,goodseeing_griz,goodseeing_gz,goodseeing_i,greedy_footprint,roll_mod2_dust_sdf_0_20,rolling_mod2_sdf_0_10,rolling_mod2_sdf_0_20,rolling_mod3_sdf_0_10,rolling_mod3_sdf_0_20,rolling_mod6_sdf_0_10,rolling_mod6_sdf_0_20,short_exp_2ns_1expt,short_exp_2ns_5expt,short_exp_5ns_1expt,short_exp_5ns_5expt,spiders,third_obs_pt120,third_obs_pt15,third_obs_pt30,third_obs_pt45,third_obs_pt60,third_obs_pt90,twilight_neo_mod1,twilight_neo_mod2,twilight_neo_mod3,twilight_neo_mod4,u60,var_expt,wfd_depth_scale0_65_noddf,wfd_depth_scale0_65,wfd_depth_scale0_70_noddf,wfd_depth_scale0_70,wfd_depth_scale0_75_noddf,wfd_depth_scale0_75,wfd_depth_scale0_80_noddf,wfd_depth_scale0_80,wfd_depth_scale0_85_noddf,wfd_depth_scale0_85,wfd_depth_scale0_90_noddf,wfd_depth_scale0_90,wfd_depth_scale0_95_noddf,wfd_depth_scale0_95,wfd_depth_scale0_99_noddf,wfd_depth_scale0_99,baseline_nexp1_v1_7_10yrs,baseline_nexp2_v1_7_10yrs,cadence_drive_gl100_gcbv1_7_10yrs,cadence_drive_gl100v1_7_10yrs,cadence_drive_gl200_gcbv1_7_10yrs,cadence_drive_gl200v1_7_10yrs,cadence_drive_gl30_gcbv1_7_10yrs,cadence_drive_gl30v1_7_10yrs,ddf_dither0_00_v1_7_10yrs,ddf_dither0_05_v1_7_10yrs,ddf_dither0_10_v1_7_10yrs,ddf_dither0_30_v1_7_10yrs,ddf_dither0_70_v1_7_10yrs,ddf_dither1_00_v1_7_10yrs,ddf_dither1_50_v1_7_10yrs,ddf_dither2_00_v1_7_10yrs,euclid_dither1_v1_7_10yrs,euclid_dither2_v1_7_10yrs,euclid_dither3_v1_7_10yrs,euclid_dither4_v1_7_10yrs,euclid_dither5_v1_7_10yrs,footprint_0_v1_710yrs,footprint_1_v1_710yrs,footprint_2_v1_710yrs,footprint_3_v1_710yrs,footprint_4_v1_710yrs,footprint_5_v1_710yrs,footprint_6_v1_710yrs,footprint_7_v1_710yrs,footprint_8_v1_710yrs,pair_times_11_v1_7_10yrs,pair_times_22_v1_7_10yrs,pair_times_33_v1_7_10yrs,pair_times_44_v1_7_10yrs,pair_times_55_v1_7_10yrs,rolling_nm_scale0_2_nslice2_v1_7_10yrs,rolling_nm_scale0_2_nslice3_v1_7_10yrs,rolling_nm_scale0_4_nslice2_v1_7_10yrs,rolling_nm_scale0_4_nslice3_v1_7_10yrs,rolling_nm_scale0_6_nslice2_v1_7_10yrs,rolling_nm_scale0_6_nslice3_v1_7_10yrs,rolling_nm_scale0_8_nslice2_v1_7_10yrs,rolling_nm_scale0_8_nslice3_v1_7_10yrs,rolling_nm_scale0_9_nslice2_v1_7_10yrs,rolling_nm_scale0_9_nslice3_v1_7_10yrs,rolling_nm_scale1_0_nslice2_v1_7_10yrs,rolling_nm_scale1_0_nslice3_v1_7_10yrs,rolling_scale0_2_nslice2_v1_7_10yrs,rolling_scale0_2_nslice3_v1_7_10yrs,rolling_scale0_4_nslice2_v1_7_10yrs,rolling_scale0_4_nslice3_v1_7_10yrs,rolling_scale0_6_nslice2_v1_7_10yrs,rolling_scale0_6_nslice3_v1_7_10yrs,rolling_scale0_8_nslice2_v1_7_10yrs,rolling_scale0_8_nslice3_v1_7_10yrs,rolling_scale0_9_nslice2_v1_7_10yrs,rolling_scale0_9_nslice3_v1_7_10yrs,rolling_scale1_0_nslice2_v1_7_10yrs,rolling_scale1_0_nslice3_v1_7_10yrs,twi_neo_pattern1_v1_7_10yrs,twi_neo_pattern2_v1_7_10yrs,twi_neo_pattern3_v1_7_10yrs,twi_neo_pattern4_v1_7_10yrs,twi_neo_pattern5_v1_7_10yrs,twi_neo_pattern6_v1_7_10yrs,twi_neo_pattern7_v1_7_10yrs,twi_pairs_mixed_repeat_v1_7_10yrs,twi_pairs_mixed_v1_7_10yrs,twi_pairs_repeat_v1_7_10yrs,twi_pairs_v1_7_10yrs,u_long_ms_30_v1_7_10yrs,u_long_ms_40_v1_7_10yrs,u_long_ms_50_v1_7_10yrs,u_long_ms_60_v1_7_10yrs
TPM,0.7937996901083546,0.7969101818304822,0.7250700275850605,0.8039584537087263,0.8332416341501195,0.792020202650703,0.633560569927068,0.621486166703106,0.625616204144186,0.6303339777367304,0.6874740739461719,0.6791693923934994,0.8227341556017908,0.5882431862709528,0.6692868438605027,0.643609925482183,0.6917618827893582,0.7539983600864713,0.7162492884731338,0.7997690139115257,0.8294588071936183,0.8841429837600656,0.9332719131958448,0.9268150338951332,0.8816991107222913,0.9494747450680386,0.9253127408268412,0.9127876565819372,0.828432423172386,0.8076229469709507,1.0,0.8010818366768129,0.6986860608487195,0.7837227045319866,0.7156680587527016,0.7916628972717149,0.8646074004351394,0.8025026490052937,0.7787650859491315,0.35564203800071864,0.8563820765855421,0.8588596146718196,0.8781892776370678,0.8500098539070322,0.7785258705090891,0.670033047803981,0.7741846956156508,0.724787180975965,0.7141284757563834,0.7160879532314667,0.7110391130958933,0.7235030526000881,0.7195961278706869,0.7951575410896379,0.8907001497096642,0.9136775907014392,0.8126441221197205,0.7212458052870021,0.8494434368145098,0.792020202650703,0.8118430789919456,0.7305641518860418,0.7575666678570451,0.8492758134499119,0.4007624541789901,0.4168136694790591,0.4101628925999595,0.5461301286634545,0.7638799261369759,0.8556431892884239,0.6637806659312868,0.6323242764906611,0.6695096470080626,0.6866560863689526,0.6781371645114809,0.6913442223071834,0.8732075021549341,0.6801147795985352,0.7272938008624075,0.7603634443053052,0.8215606195042257,0.7722327302027022,0.7951049278408169,0.8054134188436121,0.8338936349930212,0.8448673679924182,0.7270917922353162,0.7201364566900255,0.7666776933922445,0.7492750943781278,0.7868641290416295,0.7914269742172328,0.7506434179258493,0.7793796651581514,0.7859217531620246,0.7791011239163859,0.7822035089883129,0.77406323893904,0.7201364566900255,0.7745196906169892,0.7747064451202088,0.7102235796463852,0.7201364566900255,0.7835331626478281,0.7084197503851107,0.7826646192556532,0.7665115809945141,0.7524791081512634,0.8507554994796748,0.8364377129554785,0.7395329700426182,0.7616260113199623,0.7395329700426182,0.7630575043108299,0.8026315959764786,0.9441399842911108,0.7738374997317623,0.7201364566900255,0.8205696775152168,0.872294937124622,1.0,0.7098672819558085,0.7002840254290282,0.6972469386746961,0.6983614831723255,0.6995056641230474,0.7004155626642015,0.7050165152490037,0.7025438848965604,0.7061201066405897,0.7004918633310138,0.7056234960797089,0.7109966348337997,0.7249814572309267,0.7219413391925774,0.7109538773759212,0.7217323126108077,0.7210434211656745,0.7276739511875641,0.7239488716758452,0.7175678107133139,0.7169592281152299,0.7232686550393541,0.7224033462488214,0.7274140187842029,0.6526915880796079,0.7056894090542595,0.7704171851233236,0.7244495381560572,0.8394272304282175,0.7060058066627634,0.7771646173794674,0.6244085445673078,0.6088596673948136,0.6577877185600621,0.5952584372127849,0.777263742009011,0.7523838037089793,0.7293222968075733,0.7445877763918605
LS,0.4496565194030557,0.5492493711956308,0.5275801642246717,0.4794276403947563,0.4780709828946944,0.4760866251811606,0.4928659149458475,0.4854618378383293,0.4861337792304447,0.4964932845401874,0.4939846853428799,0.4963005928577627,0.4772757648000472,0.460369034255189,0.4693200345937159,0.4752873201407463,0.4592748602747431,0.4905641310591892,0.5070505099642151,0.4722421705778408,0.3922393340292589,0.4308033057782775,0.354646932017192,0.4343637292252195,0.4505846587827102,0.4682956086109003,0.4082395377369012,0.4492194285955195,0.4612352545112986,0.4818979771444227,0.4692974197392649,0.5768927326345957,0.5129022720667895,0.3984892602511353,0.4580504682980406,0.5167576826928061,0.5135106477159305,0.4598006274946079,0.4938399930986191,0.4910467312188487,0.4262122719565713,0.4320856303011337,0.4237994872151628,1.0,0.4744738096016903,0.4640922904196391,0.5493291162152959,0.5003809126214785,0.5072276081245158,0.5237297192777103,0.5309506689776644,0.5670276094825015,0.5452732619915905,0.4828832368599104,0.4634204808963992,0.4626673873222026,0.4748843471438907,0.4561606052458357,0.4767947920666434,0.4760866251811606,0.4712244041654487,0.8367236773800757,0.4597000693189461,0.4727229689422284,0.5439381685523912,0.4983150570461836,0.4639962291316883,0.4834967882650733,0.4849200911996449,0.34530362059259195,0.4858153678913054,0.5553920963293222,0.4761389737826411,0.5051690166789996,0.4701637471380164,0.4761507371363368,0.4643252578359577,0.481789599048202,0.44994797809754,0.4582309777703278,0.4674044627909118,0.4715310709988893,0.4324151481833843,0.44659056979848666,0.4556002643921181,0.4820922817503634,0.7009170364195072,0.7523582656642294,0.7614056616279409,0.7166112063531045,0.6635483108992558,0.6684111672859013,0.7498231280694396,0.7639224198453248,0.7463874041058082,0.7338419881350235,0.7286562468339882,0.7357655903685769,0.7523582656642294,0.7550845835698551,0.7141502563183573,0.7508180199546791,0.7523582656642294,0.7775731461891097,0.7558106819421173,0.7432008024684241,0.7367484306846603,0.7973053223106937,0.7764200843670375,0.9821602350024209,0.7930825670573584,0.786585303363791,0.7930825670573584,0.7810446616904549,0.7906629393764216,0.8266351063822589,0.7489085461925319,0.7523582656642294,0.7418985824665124,0.7512267467012419,0.8000301864797958,0.78752942041753,0.7538399392136301,0.7381059164749045,0.7449611310879458,0.8023153957012421,0.7355198150735633,0.8653877502261617,0.7699409998251869,0.7456204579304387,0.7893544036437213,0.7715371336983626,0.7718590960825451,1.0,0.751123119936859,0.7655458680592944,0.765773998246162,0.7628777433366427,0.7467242044885483,0.7535319918441725,0.7653357185818639,0.7494724046851642,0.7822858227616608,0.7643791003609134,0.7526351706702948,0.7735912362089753,0.7589298970900707,0.7750381068768951,0.7551610665044864,0.7729460680339936,0.730189259724105,0.7466863299138459,0.7752094704263611,0.7825028702934276,0.794938529054399,0.7914070673918749,0.7340653488509893,0.7693043669642231,0.7861620866929387,0.7687316025485189
CI,0.7004289654017387,0.665481252912362,0.6602862644294872,0.6505772326319837,0.7523083269918103,0.6983082153845811,0.6345277188180559,0.6254880363732161,0.6345751659159655,0.6254131665883452,0.625578723542105,0.6272921343024289,0.6827213618817886,0.718583722176532,0.7171561887925941,0.7123481836321672,0.7302309963421569,0.7364769655284221,0.7225495040458466,0.702619450417822,0.7371709074146867,0.7456313412974285,0.6993777269916698,0.7953044153612253,0.6453321913699087,0.7693513339659664,0.734191272690792,0.70551495946045,0.6863282733809637,0.7001890221111065,0.7444010300735946,0.7318607148101405,0.6449706280383364,0.6923591326714897,0.6702188799434374,0.6370168365850867,1.0,0.6975553052105042,0.7032600684903613,0.6347983025390858,0.7190637968678552,0.7145305554730617,0.7167305295145996,0.7100423849029646,0.6831265441554438,0.7021753871110269,0.6571819204358018,0.6912538089851243,0.6924105204672392,0.6956411582360156,0.6947362097517225,0.708057735655736,0.7005216687818433,0.6695683497088475,0.6908506918549585,0.6195663113270811,0.711419414876105,0.6974168164167011,0.7098851648026038,0.6983070908676564,0.6953578682644678,0.7008497610049234,0.7051290826702933,0.7066320884744689,0.4494723651011501,0.6082998602663984,0.6545240565394028,0.6688713052608154,0.6082129430331329,0.7156932821810503,0.6370698519460725,0.6220773307428888,0.6593332258082191,0.6397487887566449,0.6763139055470537,0.6515514210205806,0.6867159668317071,0.6663684392218775,0.7086415592375026,0.6872542701057766,0.7218793337389301,0.6999660399341179,0.7390418367472916,0.7162053588567133,0.7563221350277309,0.7254894441327758,1.0,0.9401161585273046,0.9364887743448372,0.949216533601604,0.9278949396886128,0.9266025375814596,0.9378000320643995,0.9327244143452834,0.944422787099364,0.9447005637103087,0.9353154454700048,0.9280794846977892,0.9401159917741492,0.933638864565442,0.9387529596418772,0.9266164957087668,0.9401086553344556,0.9366304087914888,0.9376238276734608,0.9263010135758548,0.9316567689877924,0.8789363083198481,0.8910603816504659,0.90355692835938,0.8903610790508979,0.8984870587702413,0.8903695671874986,0.8931726027872081,0.9050291395369751,0.9223255291391546,0.8997706269283037,0.9401110272925112,0.9556862569305244,0.95907255835757,0.960251127853956,0.9314259615064332,0.9323731192888453,0.9337256941942796,0.9326983854379456,0.9311289991917722,0.9360685761330092,0.9229142947940366,0.9286614732006716,0.9327542527750172,0.9239608498649868,0.9311093662903278,0.9434808166733236,0.944756784574758,0.9365311393136486,0.9533316029475418,0.9560456952930309,0.9431811796034598,0.9393326094624552,0.9388952695716544,0.9388093235009126,0.9372327315316084,0.9371373146901588,0.9358769037235558,0.946578806708832,0.8498666739490826,0.9019330445202896,0.9053407557894984,0.9240046764226092,0.8981113267045725,0.9064880067454166,0.9137670057180224,0.942149461844747,0.9516806345991686,0.9443062231892376,0.9550208907309572,0.974635110295574,0.955745565568242,0.9301836481002259,0.9096244612676349
